,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration_IN_Hours,Duration_IN_Min,price_per_min
0,IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,22:20,01:10 22 Mar,non-stop,No info,3897,2,0,1.84757505773672
1,Air India,1/05/2019,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:15,2 stops,No info,7662,7,5,3.32811276429131
2,Jet Airways,9/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,09:25,04:25 10 Jun,2 stops,No info,13882,19,0,4.92724391298084
3,IndiGo,12/05/2019,Kolkata,Banglore,CCU ? NAG ? BLR,18:05,23:30,1 stop,No info,6218,5,5,2.94306851077517
4,IndiGo,01/03/2019,Banglore,New Delhi,BLR ? NAG ? DEL,16:50,21:35,1 stop,No info,13302,4,5,1.10509697789806
5,SpiceJet,24/06/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,non-stop,No info,3873,2,5,1.93648334624322
6,Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,18:55,10:25 13 Mar,1 stop,In-flight meal not included,11087,15,0,4.870569135023
7,Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,05:05 02 Mar,1 stop,No info,22270,21,5,3.40817242927705
8,Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,10:25 13 Mar,1 stop,In-flight meal not included,11087,25,0,8.11761522503833
9,Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,1 stop,No info,8625,7,0,2.92173913043478
10,Air India,1/06/2019,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,1 stop,No info,8907,13,5,5.28797574941058
11,IndiGo,18/04/2019,Kolkata,Banglore,CCU ? BLR,20:20,22:55,non-stop,No info,4174,2,5,1.79683756588404
12,Air India,24/06/2019,Chennai,Kolkata,MAA ? CCU,11:40,13:55,non-stop,No info,4667,2,5,1.60702806942361
13,Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 10 May,1 stop,In-flight meal not included,9663,12,0,4.47066128531512
14,IndiGo,24/04/2019,Kolkata,Banglore,CCU ? BLR,17:15,19:50,non-stop,No info,4804,2,5,1.56119900083264
15,Air India,3/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,19:15 04 Mar,2 stops,No info,14011,26,5,6.70187709656698
16,SpiceJet,15/04/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,1 stop,No info,5830,4,0,2.46998284734134
17,Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,12:35 13 Jun,1 stop,In-flight meal not included,10262,22,5,7.74702786981095
18,Air India,12/06/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,20:15,19:15 13 Jun,2 stops,No info,13381,23,0,6.18787833495254
19,Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,12:35 28 May,1 stop,In-flight meal not included,12898,20,5,5.60552023569546
20,GoAir,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,14:10,19:20,1 stop,No info,19495,5,0,0.923313670171839
21,Air India,21/03/2019,Banglore,New Delhi,BLR ? COK ? DEL,22:00,13:20 19 Mar,1 stop,No info,6955,15,0,7.76419841840403
22,IndiGo,3/04/2019,Banglore,Delhi,BLR ? DEL,04:00,06:50,non-stop,No info,3943,2,0,1.82602079634796
23,IndiGo,1/05/2019,Banglore,Delhi,BLR ? DEL,18:55,21:50,non-stop,No info,4823,2,5,1.55504872486005
24,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,08:15 07 May,1 stop,In-flight meal not included,7757,13,0,6.03326028103648
25,Jet Airways,9/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,12:35 10 Jun,2 stops,No info,13292,15,0,4.06259404152874
26,IndiGo,1/06/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 02 Jun,1 stop,No info,8238,5,5,2.22141296431173
27,GoAir,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:55,1 stop,No info,7682,5,5,2.3821921374642
28,Vistara,18/06/2019,Banglore,Delhi,BLR ? DEL,09:45,12:35,non-stop,No info,4668,2,0,1.54241645244216
29,Vistara,15/06/2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,non-stop,No info,3687,2,5,2.03417412530513
30,Vistara,18/06/2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,non-stop,No info,3687,2,5,2.03417412530513
31,Air India,1/05/2019,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,09:50,23:15,2 stops,No info,13227,13,5,3.56089816284872
32,IndiGo,6/04/2019,Banglore,Delhi,BLR ? DEL,04:00,06:50,non-stop,No info,4423,2,0,1.62785439746778
33,Jet Airways,15/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,12:35 16 Jun,2 stops,In-flight meal not included,10919,22,0,7.25341148456818
34,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,12:35,1 stop,In-flight meal not included,12373,5,0,1.45478057059727
35,IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,1 stop,No info,5894,10,5,6.15880556498134
36,SpiceJet,21/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,15:05,20:20,1 stop,No info,4649,5,5,3.93633039363304
37,Air India,18/05/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,non-stop,No info,6245,2,0,1.1529223378703
38,Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,13:15,1 stop,No info,19225,6,5,1.13914174252276
39,Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,1 stop,No info,14924,11,5,2.67354596622889
